MEMBER,下載,TYPE,TEXT,規格書
BCHRGZ,已下載,CLP,RGZPFM SEHAPF ,
DBR001C,已下載,CLP,家樂福商品銷貨金額統計表DBQT,
DBR002C,已下載,CLP,抽成獎金表 DBQT ,
DBR003C,已下載,CLP,分店帳列數量及金額統計表DBQT,
DBR004C,已下載,CLP,獎金產品銷售總表 DBQT ,
DBR005C,已下載,CLP,供應商進貨彙總表 DBQT ,
DBR006C,已下載,CLP,供應商進貨明細表 DBQT ,
GETDVNO,已下載,CLP,GET DUMMY VENDOR NO. ,
GLS001,已下載,CLP,字串連結 ,
INM000C,已下載,CLP,西祺庫存管理系統主畫面 ,
INR010C,已下載,CLP,帳列產品庫存金額表－依分店,
INR010C1,已下載,CLP,帳列產品庫存金額表－依分店,
INR010C2,已下載,CLP,帳列產品庫存金額表－依分店（下載）,
INR020C,已下載,CLP,帳列產品庫存金額表－依產品,
INR020C1,已下載,CLP,帳列產品庫存金額表－依產品,
INR020C2,已下載,CLP,帳列產品庫存金額表－依產品（下載）,
INR030C,已下載,CLP,現場產品庫存表－依分店,
INR030C1,已下載,CLP,現場產品庫存表－依分店,
INR030C2,已下載,CLP,現場產品庫存表－依分店（下載）,
INR040C,已下載,CLP,現場產品庫存表－依產品,
INR040C1,已下載,CLP,現場產品庫存表－依產品,
INR040C2,已下載,CLP,現場產品庫存表－依產品（下載）,
INR045C,已下載,CLP,現場產品庫存總表－依產品,
INR045C1,已下載,CLP,現場產品庫存總表－依產品,
INR045C2,已下載,CLP,現場產品庫存總表－依產品（下載）,
INR046C,已下載,CLP,現場產品庫存表－依分店,
INR046C1,已下載,CLP,現場產品庫存表－依分店,
INR046C2,已下載,CLP,現場產品庫存表－依分店（下載）,
INR050C,已下載,CLP,月加權成本計算表,
INR050C1,已下載,CLP,月加權成本計算表,
INR050C2,已下載,CLP,月加權成本計算表（下載）,
INR060C,已下載,CLP,陳列品轉進貨表,
INR060C1,已下載,CLP,陳列品轉進貨表,
INR060C2,已下載,CLP,陳列品轉進貨表  （下載）,
INR070C,已下載,CLP,陳列品退出表,
INR070C1,已下載,CLP,陳列品退出表,
INR070C2,已下載,CLP,陳列品退出表  （下載）,
INR080C,已下載,CLP,陳列品餘額彙總表－依供應商,
INR080C1,已下載,CLP,陳列品餘額彙總表－依供應商,
INR082C,已下載,CLP,陳列品使用明細表,
INR082C1,已下載,CLP,陳列品使用明細表,
INR090C,已下載,CLP,銷售成本表 - 呼叫畫面控制,
INR090C1,已下載,CLP,銷售成本表 - 控制 OPNQRY,
INR100C,已下載,CLP,產品異動報表,
INR100C1,已下載,CLP,產品異動報表,
INR100C2,已下載,CLP,產品異動報表  （下載）,
INR110C,已下載,CLP,存貨調整明細表,
INR110C1,已下載,CLP,存貨調整明細表,
INR120C,已下載,CLP,盤盈銷售明細表,
INR120C1,已下載,CLP,盤盈銷售明細表,
INR130C,已下載,CLP,陳列單驗收明細表,
INR130C1,已下載,CLP,陳列單驗收明細表,
INR140C,已下載,CLP,陳列借貨明細表,
INR140C1,已下載,CLP,陳列借貨明細表,
INTOLFCHG,已下載,CLP,CHG CCSID FOR INTOLF  ,
INT006C,已下載,CLP,庫存月結批次處理      ,
INT006C1,已下載,CLP,庫存月結批次處理     ,
INT006C2,已下載,CLP,庫存月結批次處理 (ALCOBJ & RLSOBJ)      ,
INT0061T1,已下載,CLP,月結測試用－ DLCOBJ 月結相關資料檔,
INT0061T2,已下載,CLP,月結測試用－還原 12/15 執行月結前資料檔另作測試,
INT007C,已下載,CLP,庫存單據入庫批次處理           ,
INT007C1,已下載,CLP,庫存單據入庫批次處理         ,
INT007C2,已下載,CLP,庫存單據入庫批次處理 (ALCOBJ & RLSOBJ),
INT007C3,已下載,CLP,庫存單據入庫批次處理 (Auto start job),
INT009C,已下載,CLP,備份當日未處理之訂貨單到備份檔中,
INT010C,已下載,CLP,庫存月結還原批次處理,
INT010C1,已下載,CLP,庫存月結還原批次處理,
INT010C2,已下載,CLP,庫存月結批次處理 (ALCOBJ & RLSOBJ),
INT020C,已下載,CLP,庫存日結還原批次處理,
INT020C1,已下載,CLP,庫存日結還原批次處理,
MAILTESTC,已下載,CLP,Automail test,
MAM000C,已下載,CLP,主檔資料維護主畫面,
MCC000C,已下載,CLP,月結處裡  ,
MCC000C1,已下載,CLP,庫存月結批次處理 (ALCOBJ&RLSOBJ),
MCC005C,已下載,CLP,月結處裡  ,
MCC666C,已下載,CLP,庫存月結批次處理  ,
MCC777C,已下載,CLP,庫存重新計算  ,
MCC7771C,已下載,CLP,庫存重新計算  ,
MCC9000C,已下載,CLP,日結作業  ,
MCJ000C,已下載,CLP,傳票產生  ,
MCJ000CX,已下載,CLP,傳票產生  ,
MCJ602C,已下載,CLP,RUNQRY *N GLERPF  ,
MCJ950C,已下載,CLP,傳票產生  年度盤點  ,
PIA001C,已下載,CLP,盤盈虧計算  ,
PIA002C,已下載,CLP,盤點更新  ,
PIA002C1,已下載,CLP,盤點更新  ,
PIA006C,已下載,CLP,盤點資料產生  ,
PIA006C1,已下載,CLP,盤點資料產生  ,
PIA007C,已下載,CLP,盤點資料上傳  ,
PIA007C1,已下載,CLP,盤點資料上傳  ,
PIA008C,已下載,CLP,盤點更新還原  ,
PIA008C1,已下載,CLP,盤點更新還原  ,
PIA009C,已下載,CLP,計算 12/25 庫存量  ,
PIA009C1,已下載,CLP,計算 12/25 庫存量-系統數量、盤點量、未稅成本,
PIA009C2,已下載,CLP,計算 12/25 庫存量-驗收數量,
PIA009C3,已下載,CLP,計算 12/25 庫存量-銷售數量,
PIA009C4,已下載,CLP,計算 12/25 庫存量-系統異動調整調撥數量,
PIA009C5,已下載,CLP,計算 12/25 庫存量-系統異動調整預購數量,
PIMSC0C,已下載,CLP,盤點系統主畫面  ,
PIM000C,已下載,CLP,盤點系統主畫面 <-- 取消不使用,
PIR001C1,已下載,CLP,盤盈虧報表,
PIR001C2,已下載,CLP,盤盈虧報表,
PIR101C1,已下載,CLP,每月盤盈虧報表,
PIR101C2,已下載,CLP,每月盤盈虧報表,
PSM000C,已下載,CLP,西祺進銷存主畫面,
PUC0010C,已下載,CLP,全產品年度基本報價複製,
PUC0011C,已下載,CLP,全產品年度基本報價複製,
PUC0110C,已下載,CLP,前台訂貨單轉後台處理,
PUC0111C,已下載,CLP,前台訂貨單轉後台處理,
PUC012C,已下載,CLP,訂貨單維護,
PUC013C,已下載,CLP,訂貨單審核 ,
PUC014C,已下載,CLP,訂貨單核準 ,
PUC016C,已下載,CLP,訂貨單取消核準 ,
PUC0210C,已下載,CLP,採購批次處理 ,
PUC0210CB1,已下載,CLP,採購批次處理 ( 備份檔不可刪除 ) ,
PUC0211C,已下載,CLP,採購批次處理 ,
PUC023C,已下載,CLP,應到貨箱數表寄出作業 ,
PUC023CSP,已下載,CLP,應到貨箱數表寄出作業   指定日期YYYYMMDD,
PUC023C1,已下載,CLP,應到貨箱數表寄出作業 ,
PUC024C,已下載,CLP,採購表單寄出處理 ,
PUC024C1,已下載,CLP,採購表單寄出處理 ,
PUC025C,已下載,CLP,採購單寄出作業 ,
PUC025C1,已下載,CLP,採購表單寄出處理 ,
PUC033C,已下載,CLP,補增驗收單維護 ,
PUC0410C,已下載,CLP,運費月結處理 ,
PUC0411C,已下載,CLP,運費月結處理,
PUM000C,已下載,CLP,西祺採購管理系統主畫面,
PUM001C,已下載,CLP,西祺採購報表列印作業主畫面,
PUR010C,已下載,CLP,驗收彙總表,
PUR010C1,已下載,CLP,驗收彙總表,
PUR010C2,已下載,CLP,驗收彙總表（下載）,
PUR020C,已下載,CLP,驗收明細表,
PUR020C1,已下載,CLP,驗收明細表,
PUR020C2,已下載,CLP,驗收明細表（下載）,
PUR030C,已下載,CLP,分店驗收數量差異表,
PUR030C1,已下載,CLP,分店驗收數量差異表,
PUR030C2,已下載,CLP,分店驗收數量差異表（下載）,
PUR040C,已下載,CLP,運費總表,
PUR040C1,已下載,CLP,運費總表,
PUR040C2,已下載,CLP,運費總表（下載）,
PUR050C,已下載,CLP,供應商負擔運費表,
PUR050C1,已下載,CLP,供應商負擔運費表,
PUR050C2,已下載,CLP,供應商負擔運費表（下載）,
PUR060C,已下載,CLP,驗收月報表,
PUR060C1,已下載,CLP,驗收月報表,
PUR060C2,已下載,CLP,驗收月報表（下載）,
PUR061C,已下載,CLP,採購單彙總表,
PUR061C1,已下載,CLP,採購單彙總表 ,
SCCLRF,已下載,CLP,** 西祺進銷存啟用系統清除檔案用（小心!),
SEH001C2,已下載,CLP,通路銷售資料批次處理 - 資料上傳 ,
SEH0010C,已下載,CLP,通路銷售資料批次處理 ,
SEH0011C,已下載,CLP,"銷售批次－ OPNQRYF SCWK03,SEHAPF ",
SEH0011CX,已下載,CLP,"銷售批次－ OPNQRYF SCWK03,SEHAPF ",
SEH002C1,已下載,CLP,通路銷售資料確認 ,
SEM000C,已下載,CLP,西祺銷售管理系統主畫面 ,
SER0100C,已下載,CLP,通路無銷售資料異常表 ,
SER0101C,已下載,CLP,通路無銷售資料異常表 ,
SER0102C,已下載,CLP,通路無銷售資料異常表（下載） ,
SER0200C,已下載,CLP,通路銷售金額表 ,
SER0201C,已下載,CLP,通路銷售金額表 ,
SER0202C,已下載,CLP,通路銷售金額表（下載）,
SER0300C,已下載,CLP,銷貨收入分店彙總表,
SER0301C,已下載,CLP,銷貨收入分店彙總表,
SER0302C,已下載,CLP,銷貨收入分店彙總表（下載）,
SER0400C,已下載,CLP,產品銷貨收入彙總表,
SER0401C,已下載,CLP,產品銷貨收入彙總表,
SER0402C,已下載,CLP,產品銷貨收入彙總表（下載）,
SER0500C,已下載,CLP,通路銷售明細表,
SER0501C,已下載,CLP,通路銷售明細表,
SER0502C,已下載,CLP,通路銷售明細表（下載）,
SYS9021C,已下載,CLP,網頁工作清檔 (MAIN),
SYS9022C,已下載,CLP,網頁工作清檔   ,
SYS903C,已下載,CLP,網頁工作清檔鎖定 & 網頁人員解除鎖定(自動),
SYS903SQL,已下載,TXT,網頁工作清檔鎖定 & 網頁人員解除鎖定(自動),
SYS903SQLO,已下載,TXT,網頁工作清檔鎖定 & 網頁人員解除鎖定(自動),
TEST1128,已下載,CLP,回傳 C#ELPF 的記錄數   ,
TRF001C,已下載,CLP,轉資料 INTNPF -> INTBPF + INTAPF   ,
TRF007C,已下載,CLP,修正陳列單重複   ,
TWEB001SP,已下載,CLP,前台人員資料 MANFPF TEST   ,
UPD001C,已下載,CLP,update pocdpf cd06   ,
VOM000C,已下載,CLP,西祺產生傳票作業主畫面   ,
VOU001C,已下載,CLP,銷售傳票批次   ,
VOU001C1,已下載,CLP,銷售傳票批次   ,
VOU002C,已下載,CLP,採購傳票批次   ,
VOU002C1,已下載,CLP,採購傳票批次,
VOU003C,已下載,CLP,庫存異動傳票批次,
VOU003C1,已下載,CLP,庫存異動傳票批次,
VOU004C,已下載,CLP,進貨退出傳票批次,
VOU004C1,已下載,CLP,進貨退出傳票批次,
VOU005C,已下載,CLP,陳列轉進貨傳票批次,
VOU005C1,已下載,CLP,陳列轉進貨傳票批次,
VOU006C,已下載,CLP,傳票批次作業,
VOU006C1,已下載,CLP,傳票批次作業,
VPB001C,已下載,CLP,直客 (VIP) 明細表上傳,
VPB001C1,已下載,CLP,直客 (VIP) 明細表上傳,
VPB002C,已下載,CLP,直客 (VIP) 銷售資料上傳,
VPB002C1,已下載,CLP,直客 (VIP) 銷售資料上傳,
VPM000C,已下載,CLP,ＶＩＰ管理系統主畫面,
VPR001C,已下載,CLP,直客 (VIP) 明細表下載,
VPR001C1,已下載,CLP,直客 (VIP) 明細表下載,
VPR002C,已下載,CLP,通路銷售明細表,
VPR002C1,已下載,CLP,通路銷售明細表,
WEB001C,已下載,CLP,人員登錄審核,
WEB012C,已下載,CLP,調撥單調出產品檢核＆單據產生＆更新,
WEB015C,已下載,CLP,調撥單驗收產品檢核及更新,
WEB018C,已下載,CLP,取得訂貨單預計到分店日,
WEB019C,已下載,CLP,檢核訂貨單預計到分店日,
WEB020C,已下載,CLP,訂貨單產品檢核及單據產生 / 更新 / 刪除,
WEB025C,已下載,CLP,每月盤點主檔及明細檔產生 / 更新 / 刪除,
WEB026C,已下載,CLP,檢核每月盤點單,
WEB027C,已下載,CLP,WEB 每月盤點單 for 新增匯出 Excel,
WEB029C,已下載,CLP,驗收單產品檢核及更新,
WEB032C,已下載,CLP,採購單寄出 FLAG SETTING (SCDA01 7),
WEB033C,已下載,CLP,應到貨箱數表寄出 FLAG SETTING (SCDA01 8),
WEB034C,已下載,CLP,採購單寄出 CHECK,
WEB035C,已下載,CLP,應到貨箱數表寄出 CHECK ,
WEB041C,已下載,CLP,庫存查詢 BY 貨架 CL ,
WEB042C,已下載,CLP,庫存查詢 BY 產品 CL ,
WEB043C,已下載,CLP,庫存查詢 BY 分店 CL ,
WEB043CY,已下載,CLP,庫存查詢 BY 分店 CL ,
XXXX,已下載,CLP,JOB SCHEDULE ENTRY BACKUPPROGRAM,
Z003C1,已下載,CLP,計算帳列庫存量 ,
